MSSubClass,LotFrontage,LotShape,X1stFlrSF,TotalBsmtSF,GrLivArea,FireplaceQu,GarageArea,Heating,ExterQual,MasVnrArea,BsmtFinSF1,BsmtUnfSF,CentralAir,SalePrice
60,65,Reg,856,856,1710,NA,548,GasA,Gd,196,706,150,Y,208500
20,80,Reg,1262,1262,1262,TA,460,GasA,TA,0,978,284,Y,181500
60,68,IR1,920,920,1786,TA,608,GasA,Gd,162,486,434,Y,223500
70,60,IR1,961,756,1717,Gd,642,GasA,TA,0,216,540,Y,140000
60,84,IR1,1145,1145,2198,TA,836,GasA,Gd,350,655,490,Y,250000
50,85,IR1,796,796,1362,NA,480,GasA,TA,0,732,64,Y,143000
20,75,Reg,1694,1686,1694,Gd,636,GasA,Gd,186,1369,317,Y,307000
60,NA,IR1,1107,1107,2090,TA,484,GasA,TA,240,859,216,Y,200000
50,51,Reg,1022,952,1774,TA,468,GasA,TA,0,0,952,Y,129900
190,50,Reg,1077,991,1077,TA,205,GasA,TA,0,851,140,Y,118000
20,70,Reg,1040,1040,1040,NA,384,GasA,TA,0,906,134,Y,129500
60,85,IR1,1182,1175,2324,Gd,736,GasA,Ex,286,998,177,Y,345000
20,NA,IR2,912,912,912,NA,352,GasA,TA,0,737,175,Y,144000
20,91,IR1,1494,1494,1494,Gd,840,GasA,Gd,306,0,1494,Y,279500
20,NA,IR1,1253,1253,1253,Fa,352,GasA,TA,212,733,520,Y,157000
45,51,Reg,854,832,854,NA,576,GasA,TA,0,0,832,Y,132000
20,NA,IR1,1004,1004,1004,TA,480,GasA,TA,180,578,426,Y,149000
90,72,Reg,1296,0,1296,NA,516,GasA,TA,0,0,0,Y,90000
20,66,Reg,1114,1114,1114,NA,576,GasA,TA,0,646,468,Y,159000
20,70,Reg,1339,1029,1339,NA,294,GasA,TA,0,504,525,Y,139000
60,101,IR1,1158,1158,2376,Gd,853,GasA,Gd,380,0,1158,Y,325300
45,57,Reg,1108,637,1108,Gd,280,GasA,TA,0,0,637,Y,139400
20,75,Reg,1795,1777,1795,Gd,534,GasA,Gd,281,0,1777,Y,230000
120,44,Reg,1060,1040,1060,TA,572,GasA,TA,0,840,200,Y,129900
20,NA,IR1,1060,1060,1060,TA,270,GasA,TA,0,188,204,Y,154000
20,110,Reg,1600,1566,1600,Gd,890,GasA,Gd,640,0,1566,Y,256300
20,60,Reg,900,900,900,NA,576,GasA,TA,0,234,180,Y,134800
20,98,Reg,1704,1704,1704,Gd,772,GasA,Gd,200,1218,486,Y,306000
20,47,IR1,1600,1484,1600,Gd,319,GasA,TA,0,1277,207,Y,207500
30,60,IR1,520,520,520,NA,240,GasA,TA,0,0,520,N,68500
70,50,Reg,649,649,1317,NA,250,GasA,TA,0,0,649,N,40000
20,NA,IR1,1228,1228,1228,NA,271,GasA,TA,0,0,1228,Y,149350
20,85,Reg,1234,1234,1234,NA,484,GasA,Gd,0,0,1234,Y,179900
20,70,IR1,1700,1398,1700,Gd,447,GasA,TA,0,1018,380,Y,165500
120,60,Reg,1561,1561,1561,Gd,556,GasA,Ex,246,1153,408,Y,277500
60,108,Reg,1132,1117,2452,Gd,691,GasA,Gd,132,0,1117,Y,309000
20,112,Reg,1097,1097,1097,NA,672,GasA,TA,0,0,1097,Y,145000
20,74,Reg,1297,1297,1297,TA,498,GasA,TA,650,1213,84,Y,153000
20,68,Reg,1057,1057,1057,NA,246,GasA,TA,0,731,326,Y,109000
90,65,Reg,1152,0,1152,NA,0,GasA,TA,0,0,0,N,82000
20,84,Reg,1324,1088,1324,TA,440,GasA,TA,101,643,445,Y,160000
20,115,Reg,1328,1350,1328,Gd,308,GasA,TA,0,967,383,Y,170000
85,NA,IR1,884,840,884,NA,504,GasA,TA,0,747,0,Y,144000
20,NA,IR1,938,938,938,NA,308,GasA,TA,0,280,167,Y,130250
20,70,Reg,1150,1150,1150,NA,300,GasA,TA,0,179,465,Y,141000
120,61,Reg,1752,1752,1752,Gd,576,GasA,Ex,412,456,1296,Y,319900
50,48,IR1,1518,1434,2149,Ex,670,GasA,Gd,0,1351,83,Y,239686
20,84,Reg,1656,1656,1656,NA,826,GasA,Gd,0,24,1632,Y,249700
190,33,Reg,736,736,1452,NA,0,GasA,TA,0,0,736,Y,113000
20,66,Reg,955,955,955,NA,386,GasA,TA,0,763,192,Y,127000
60,NA,IR2,794,794,1470,NA,388,GasA,TA,0,182,612,Y,177000
50,52,Reg,816,816,1176,Gd,528,GasA,TA,0,0,816,Y,114500
90,110,IR2,816,816,816,NA,516,GasA,Fa,0,104,0,N,110000
20,68,IR1,1842,1842,1842,Gd,894,GasA,Gd,0,1810,32,Y,385000
80,60,Reg,1360,384,1360,TA,572,GasA,TA,0,384,0,Y,130000
20,100,IR1,1425,1425,1425,Gd,576,GasA,TA,272,490,935,Y,180500
160,24,Reg,983,970,1739,NA,480,GasA,Gd,456,649,321,Y,172500
60,89,IR1,860,860,1720,NA,565,GasA,Gd,0,0,860,Y,196500
60,66,IR2,1426,1410,2945,Gd,641,GasA,Ex,1031,0,1410,Y,438780
20,60,Reg,780,780,780,NA,352,GasA,TA,0,632,148,Y,124900
20,63,Reg,1158,1158,1158,NA,576,GasA,TA,0,941,217,Y,158000
75,60,Reg,581,530,1111,NA,288,GasA,TA,0,0,530,N,101000
120,44,IR1,1370,1370,1370,Gd,484,GasA,Gd,178,24,1346,Y,202500
70,50,IR1,902,576,1710,NA,480,GasA,TA,0,0,576,Y,140000
60,NA,Reg,1057,1057,2034,NA,645,GasA,TA,573,739,318,Y,219500
60,76,Reg,1143,1143,2473,Gd,852,GasA,Gd,344,0,1143,Y,317000
20,NA,Reg,2207,1947,2207,Gd,576,GasA,TA,287,912,1035,Y,180000
20,72,IR1,1479,1453,1479,NA,558,GasA,Gd,167,1013,440,Y,226000
30,47,Reg,747,747,747,NA,220,GasA,TA,0,0,747,Y,80000
50,81,Reg,1304,1304,2287,TA,667,GasW,Gd,0,603,701,Y,225000
20,95,IR1,2223,2223,2223,Gd,516,GasA,TA,1115,1880,343,Y,244000
20,69,Reg,845,845,845,NA,360,GasA,TA,0,565,280,Y,129500
60,74,IR1,885,832,1718,TA,427,GasA,TA,40,0,832,Y,185000
20,85,Reg,1086,1086,1086,NA,490,GasA,TA,104,320,404,Y,144900
50,60,Reg,840,840,1605,NA,379,GasA,Gd,0,0,840,N,107400
180,21,Reg,526,462,988,NA,297,GasA,TA,0,462,0,Y,91000
20,NA,IR1,952,952,952,NA,283,GasA,TA,0,228,724,Y,135750
50,50,Reg,1072,672,1285,NA,240,GasA,TA,0,336,295,Y,127000
90,72,Reg,1768,1768,1768,NA,0,GasA,TA,0,0,1768,N,136500
50,60,Reg,682,440,1230,NA,440,GasA,TA,0,0,440,Y,110000
60,100,Reg,1182,896,2142,Gd,509,GasA,TA,576,448,448,Y,193500
120,32,Reg,1337,1237,1337,NA,405,GasA,TA,443,1201,36,Y,153500
20,78,Reg,1563,1563,1563,Gd,758,GasA,TA,468,33,1530,Y,245000
20,80,IR1,1065,1065,1065,NA,461,GasA,TA,66,0,1065,Y,126500
80,NA,IR1,804,384,1474,TA,400,GasA,TA,22,0,384,Y,168500
60,121,Reg,1301,1288,2417,TA,462,GasA,Gd,284,0,1288,Y,260000
60,122,IR2,684,684,1560,Gd,400,GasA,Gd,0,0,684,Y,174000
160,40,Reg,612,612,1224,NA,528,GasA,Gd,76,0,612,Y,164500
50,105,IR1,1013,1013,1526,NA,0,GasA,Fa,0,0,1013,N,85000
20,60,Reg,990,990,990,NA,0,GasA,TA,0,588,402,Y,123600
20,60,Reg,1040,0,1040,NA,420,GasA,TA,0,0,0,Y,109900
20,85,Reg,1235,1235,1235,NA,480,GasA,TA,203,600,635,Y,98600
30,80,IR1,964,876,964,NA,432,GasA,TA,0,713,163,Y,163500
190,60,Reg,1260,1214,2291,Gd,506,GasW,TA,0,1046,168,N,133900
60,69,IR1,905,824,1786,NA,684,GasA,TA,0,648,176,Y,204750
60,NA,IR2,680,680,1470,TA,420,GasA,Ex,68,310,370,Y,185000
20,78,IR1,1588,1588,1588,NA,472,GasA,Gd,183,1162,426,Y,214000
20,73,Reg,960,960,960,NA,432,GasA,TA,48,520,440,Y,94750
30,85,Reg,835,458,835,NA,366,GasA,TA,0,108,350,N,83000
20,77,IR1,1225,950,1225,NA,0,GasA,TA,0,569,381,Y,128950
20,NA,IR1,1610,1610,1610,TA,480,GasA,TA,28,1200,410,Y,205000
60,77,Reg,977,741,1732,TA,476,GasA,Gd,336,0,741,Y,178000
90,64,Reg,1535,0,1535,NA,410,GasA,TA,0,0,0,Y,118964
20,94,IR1,1226,1226,1226,NA,740,GasA,TA,0,0,1226,Y,198900
50,NA,Reg,1226,1040,1818,TA,240,GasA,TA,600,224,816,Y,169500
60,75,Reg,1053,1053,1992,Gd,648,GasA,Gd,768,0,1053,Y,250000
30,60,Reg,1047,641,1047,NA,273,GasA,TA,0,0,641,Y,100000
20,50,Reg,789,789,789,NA,250,GasA,TA,0,104,516,Y,115000
50,85,Reg,997,793,1517,NA,0,GasW,TA,0,0,793,N,115000
20,105,IR1,1844,1844,1844,TA,546,GasA,TA,480,705,1139,Y,190000
50,75,Reg,1216,994,1855,NA,325,GasA,TA,0,444,550,Y,136900
80,NA,IR1,774,384,1430,TA,400,GasA,TA,0,250,134,Y,180000
60,77,Reg,1282,1264,2696,Gd,792,GasA,Gd,220,984,280,Y,383970
20,NA,Reg,2259,1809,2259,Gd,450,GasA,TA,184,35,905,Y,217000
70,61,IR1,1436,1028,2320,TA,180,GasA,TA,0,774,104,Y,259500
160,34,Reg,729,729,1458,Fa,440,GasA,TA,1129,419,310,Y,176000
20,NA,Reg,1092,1092,1092,Po,288,GasA,TA,116,170,252,Y,139000
20,74,Reg,1125,1125,1125,NA,430,GasA,TA,0,0,1125,Y,155000
60,90,Reg,1699,1673,3222,TA,594,GasA,TA,0,1470,203,Y,320000
60,65,Reg,728,728,1456,Gd,390,GasA,Gd,0,0,728,Y,163990
80,NA,IR1,988,938,988,TA,540,GasA,TA,0,938,0,Y,180000
50,50,Reg,772,732,1123,NA,264,GasA,TA,0,0,732,Y,100000
20,75,Reg,1080,1080,1080,NA,288,GasA,TA,135,570,510,Y,136000
120,55,Reg,1199,1199,1199,NA,530,GasA,Gd,0,300,899,Y,153900
20,48,IR1,1586,1362,1586,TA,435,GasA,TA,0,0,1362,Y,181000
190,60,Reg,520,520,754,NA,0,GasA,TA,0,490,30,N,84500
120,NA,IR1,958,1078,958,TA,440,GasA,TA,0,120,958,Y,128000
45,55,IR1,840,672,840,TA,0,GasA,TA,0,116,556,Y,87000
60,69,Reg,660,660,1348,Fa,453,GasA,TA,266,512,148,Y,155000
20,69,Reg,1053,1008,1053,NA,750,GasA,TA,85,567,413,Y,150000
60,88,Reg,1216,924,2157,Gd,487,GasA,TA,309,445,479,Y,226000
60,NA,IR1,1022,992,2054,TA,390,GasA,Gd,40,695,297,Y,244000
20,75,Reg,1327,1063,1327,NA,624,GasA,TA,0,405,658,Y,150750
20,NA,IR1,1296,1267,1296,NA,471,GasA,Gd,136,1005,262,Y,220000
20,78,IR1,1721,1461,1721,TA,440,GasA,TA,0,570,891,Y,180000
20,80,Reg,1682,1304,1682,Gd,530,GasA,TA,288,0,1304,Y,174000
20,NA,IR1,1214,1214,1214,Fa,318,GasA,TA,196,695,519,Y,143000
90,82,Reg,1959,1907,1959,NA,766,GasA,TA,70,0,1907,Y,171000
60,73,IR1,1004,1004,1852,TA,660,GasA,Gd,320,668,336,Y,230000
60,65,IR1,928,928,1764,NA,470,GasA,TA,0,821,107,Y,231500
20,70,Reg,864,864,864,Po,0,GasA,TA,0,432,432,Y,115000
20,78,Reg,1734,1734,1734,NA,660,GasA,Gd,0,1300,434,Y,260000
50,71,Reg,910,910,1385,NA,720,GasA,TA,0,507,403,Y,166000
20,78,IR1,1501,1490,1501,NA,577,GasA,Gd,183,679,811,Y,204000
90,70,Reg,1728,1728,1728,NA,504,GasA,TA,336,1332,396,Y,125000
160,24,Reg,970,970,1709,NA,380,GasA,Gd,50,0,970,Y,130000
30,51,Reg,875,715,875,NA,180,GasA,TA,0,209,506,Y,105000
60,NA,IR1,884,884,2035,Gd,434,GasA,Gd,180,0,884,Y,222500
20,63,Reg,1080,1080,1080,NA,0,GasA,TA,120,680,400,Y,141000
50,NA,Reg,896,896,1344,NA,240,GasA,TA,0,0,896,Y,115000
20,120,Reg,969,969,969,NA,440,GasA,TA,0,716,253,Y,122000
20,107,Reg,1710,1710,1710,Gd,866,GasA,Gd,436,1400,310,Y,372402
60,NA,IR1,1097,825,1993,Gd,495,GasA,TA,252,416,409,Y,190000
20,NA,Reg,1252,1602,1252,Gd,564,GasA,TA,0,429,93,Y,235000
30,84,Reg,1200,1200,1200,NA,312,GasA,TA,0,0,1200,Y,125000
50,60,Reg,572,572,1096,NA,0,Grav,TA,0,0,572,N,79000
20,60,Reg,1040,0,1040,NA,625,GasA,TA,0,0,0,Y,109500
60,92,Reg,774,774,1968,Gd,680,GasA,Gd,84,0,774,Y,269500
60,100,Reg,991,991,1947,Gd,678,GasA,Gd,0,222,769,Y,254900
60,134,IR1,1392,1392,2462,Gd,576,GasA,Gd,456,57,1335,Y,320000
20,NA,IR1,1232,1232,1232,NA,516,GasA,TA,0,660,572,Y,162500
60,110,IR1,1572,1572,2668,Gd,726,GasA,Gd,664,1016,556,Y,412500
20,95,Reg,1541,1541,1541,Gd,532,GasA,Gd,226,1201,340,Y,220000
45,55,Reg,882,882,882,NA,0,GasA,TA,0,0,882,Y,103200
40,40,Reg,1149,1149,1616,NA,216,GasA,TA,0,370,779,Y,152000
190,62,Reg,808,644,1355,NA,0,GasA,TA,0,351,112,Y,127500
20,NA,IR1,1867,1617,1867,Gd,303,GasA,Gd,0,379,470,Y,190000
60,86,Reg,1610,1582,2161,Gd,789,GasA,Gd,300,1288,294,Y,325624
60,62,IR1,840,840,1720,Gd,440,GasA,Gd,0,0,840,Y,183500
20,NA,IR1,1707,1686,1707,TA,511,GasA,Gd,653,0,1686,Y,228000
50,NA,IR1,854,720,1382,NA,660,GasA,TA,0,360,360,Y,128500
20,141,IR1,1656,1080,1656,Gd,528,GasA,TA,112,639,441,Y,215000
160,44,IR1,1064,1064,1767,TA,504,GasA,Gd,0,495,354,Y,239000
20,80,IR1,1362,1362,1362,TA,504,GasA,TA,491,288,700,Y,163000
20,47,IR1,1651,1606,1651,TA,616,GasA,TA,132,1398,0,Y,184000
20,84,Reg,2158,1202,2158,Gd,576,GasA,TA,0,477,725,Y,243000
60,97,IR1,1164,1151,2060,TA,521,GasA,Gd,268,831,320,Y,211000
50,NA,Reg,1252,1052,1920,Gd,451,GasA,Gd,0,57,554,Y,172500
20,63,IR1,2234,2216,2234,Gd,1166,GasA,Ex,748,1904,312,Y,501837
30,60,Reg,968,968,968,NA,480,GasA,Gd,0,0,968,Y,100000
160,NA,Reg,769,756,1525,TA,440,GasA,Gd,456,436,320,Y,177000
70,54,Reg,901,793,1802,Gd,216,GasA,TA,0,352,441,Y,200100
20,60,Reg,1340,0,1340,Gd,252,GasA,TA,98,0,0,Y,120000
50,63,Reg,1362,1362,2082,NA,484,GasA,TA,0,0,1362,Y,200000
50,92,IR1,936,504,1252,NA,576,GasA,TA,0,0,504,Y,127000
75,90,IR2,1518,1107,3608,TA,840,GasA,Gd,0,0,1107,Y,475000
80,NA,IR1,1217,1188,1217,NA,497,GasA,TA,0,611,577,Y,173000
50,60,Reg,808,660,1656,NA,180,GasA,TA,0,0,660,Y,135000
90,64,Reg,1224,1086,1224,TA,528,GasA,TA,275,1086,0,Y,153337
120,41,Reg,1593,1593,1593,Gd,682,GasA,Gd,0,1153,440,Y,286000
70,70,Reg,1549,853,2727,TA,440,GasA,Gd,0,297,556,Y,315000
60,NA,IR1,725,725,1479,NA,484,GasA,TA,138,626,99,Y,184000
20,68,IR1,1431,1431,1431,NA,666,GasA,Gd,0,560,871,Y,192000
160,24,Reg,970,970,1709,NA,380,GasA,Gd,50,0,970,Y,130000
20,60,IR1,864,864,864,NA,352,GasA,TA,0,390,474,Y,127000
160,24,Reg,855,855,1456,TA,440,GasA,TA,0,566,289,Y,148500
20,79,Reg,1726,1726,1726,Gd,786,GasA,Ex,205,1126,600,Y,311872
75,174,Reg,1360,1360,3112,Ex,795,GasA,Gd,0,1036,140,Y,235000
75,92,Reg,929,755,2229,NA,0,GasA,TA,0,0,755,Y,104000
20,76,Reg,1713,1713,1713,Gd,856,GasA,Gd,262,1088,625,Y,274900
20,80,Reg,1121,1121,1121,NA,440,GasA,TA,0,0,1121,Y,140000
20,75,Reg,1279,1196,1279,Fa,473,GasA,TA,0,641,276,Y,171500
50,50,Reg,865,617,1310,NA,398,GasA,TA,0,617,0,Y,112000
120,NA,Reg,848,848,848,Gd,420,GasA,Gd,205,662,186,Y,149000
50,50,Reg,720,720,1284,NA,240,GasA,TA,0,312,408,Y,110000
20,99,Reg,1442,1424,1442,NA,500,GasA,TA,0,0,1424,Y,180500
20,40,IR1,1696,1140,1696,TA,349,GasA,TA,0,0,1140,Y,143900
20,NA,IR1,1100,1100,1100,Po,312,GasA,TA,0,419,375,Y,141000
60,NA,IR1,1180,1157,2062,Gd,454,GasA,Gd,128,1065,92,Y,277000
20,75,Reg,1092,1092,1092,NA,504,GasA,TA,260,787,305,Y,145000
30,67,Reg,864,864,864,NA,0,GasA,TA,0,468,396,N,98000
20,83,Reg,1212,1212,1212,NA,460,GasA,TA,0,36,1176,Y,186000
60,72,Reg,932,900,1852,TA,644,GasA,TA,0,822,78,Y,252678
20,43,IR2,990,990,990,NA,576,GasA,TA,0,716,274,Y,156000
60,NA,IR1,689,689,1392,NA,299,GasA,TA,153,378,311,Y,161750
20,72,IR1,1236,1070,1236,Fa,447,GasA,TA,64,360,710,Y,134450
20,65,Reg,1436,1436,1436,NA,484,GasA,Gd,266,946,490,Y,210000
70,57,Reg,810,686,1328,NA,210,GasA,TA,0,0,686,N,107000
50,NA,IR1,1137,798,1954,TA,431,GasA,Gd,312,341,457,Y,311500
120,43,Reg,1248,1248,1248,NA,438,GasA,Gd,16,16,1232,Y,167240
20,73,IR1,1498,1498,1498,NA,675,GasA,Gd,0,0,1498,Y,204900
60,NA,IR1,1010,1010,2267,TA,390,GasA,Gd,0,0,1010,Y,200000
60,85,Reg,811,713,1552,TA,434,GasA,TA,0,550,163,Y,179900
20,70,Reg,864,864,864,NA,576,GasA,TA,0,524,160,Y,97000
20,103,Reg,2392,2392,2392,Ex,968,GasA,Ex,922,56,2336,Y,386250
160,21,Reg,630,630,1302,NA,280,GasA,TA,142,0,630,Y,112000
60,82,IR1,1214,1203,2520,TA,721,GasA,Gd,290,565,638,Y,290000
160,21,Reg,483,483,987,NA,280,GasA,TA,127,321,162,Y,106000
20,70,Reg,912,912,912,Fa,336,GasA,TA,0,842,70,Y,125000
120,43,Reg,1555,1373,1555,TA,430,GasA,Gd,16,16,1357,Y,192500
20,73,Reg,1194,1194,1194,NA,312,GasA,TA,220,0,1194,Y,148000
60,174,IR1,1490,1462,2794,TA,810,GasA,Gd,506,689,773,Y,403000
160,21,Reg,483,483,987,Po,288,GasA,TA,297,0,483,Y,94500
20,75,Reg,894,894,894,NA,308,GasA,TA,0,182,0,Y,128200
60,NA,Reg,860,860,1960,TA,440,GasA,Gd,NA,625,235,Y,216500
160,21,Reg,483,483,987,NA,264,GasA,TA,604,358,125,Y,89500
20,65,Reg,1414,1414,1414,NA,494,GasA,Gd,98,24,1390,Y,185500
60,NA,IR1,1014,996,1744,NA,457,GasA,Gd,0,402,594,Y,194500
20,93,Reg,1694,1694,1694,NA,818,GasA,Ex,254,0,1694,Y,318000
50,52,Reg,798,735,1487,Gd,220,GasA,TA,0,94,641,Y,113000
20,75,Reg,1566,1566,1566,NA,750,GasA,Gd,36,1078,488,Y,262500
30,40,Reg,866,686,866,NA,0,GasA,TA,0,329,357,Y,110500
50,63,Reg,889,540,1440,NA,352,GasA,TA,0,0,540,N,79000
160,75,Reg,626,626,1217,TA,288,GasA,TA,0,0,626,Y,120000
60,NA,IR1,1222,948,2110,Fa,463,GasA,Gd,0,695,253,Y,205000
20,80,Reg,1872,1845,1872,TA,604,GasA,TA,102,929,916,Y,241500
190,69,Reg,908,1020,1928,NA,440,GasA,TA,0,0,1020,N,137000
20,75,Reg,1375,1367,1375,TA,451,GasA,TA,0,0,1367,Y,140000
60,72,Reg,840,840,1668,NA,500,GasA,Gd,101,0,840,Y,180000
50,NA,IR2,1444,1444,2144,TA,389,GasA,Gd,472,697,747,Y,277000
30,55,IR1,1306,728,1306,NA,0,GasA,TA,0,0,728,Y,76500
120,44,IR1,1625,1573,1625,Gd,538,GasA,Gd,481,1573,0,Y,235000
60,65,IR1,798,798,1640,NA,520,GasA,Gd,0,0,798,Y,173000
80,85,Reg,1302,1302,1302,NA,309,GasA,TA,108,270,452,Y,158000
20,70,Reg,1314,1314,1314,NA,294,GasA,TA,0,922,392,Y,145000
60,66,IR1,1005,975,2291,TA,429,GasA,Gd,302,0,975,Y,230000
60,64,IR1,864,864,1728,NA,673,GasA,Gd,0,503,361,Y,207500
20,68,Reg,1604,1604,1604,Gd,660,GasA,Gd,180,1334,270,Y,220000
60,80,Reg,963,963,1792,TA,564,GasA,Gd,172,361,602,Y,231500
20,70,Reg,882,0,882,NA,308,GasA,TA,0,0,0,Y,97000
80,120,Reg,1382,1362,1382,TA,884,GasA,TA,399,672,0,Y,176000
60,69,IR1,1482,1482,2574,Gd,868,GasA,Gd,270,0,1482,Y,276000
80,88,IR1,1212,506,1212,TA,492,GasA,TA,46,506,0,Y,151000
50,50,Reg,926,926,1316,NA,484,GasA,TA,0,234,0,Y,130000
30,30,IR3,764,680,764,NA,504,GasA,TA,0,0,680,N,73000
20,78,IR1,1422,1422,1422,TA,576,GasA,TA,210,588,606,Y,175500
60,70,IR1,802,802,1511,TA,413,GasA,TA,0,714,88,Y,185000
75,60,Reg,1052,720,2192,Gd,240,GasA,TA,0,378,342,Y,179500
30,71,Reg,778,740,778,Gd,924,GasA,TA,0,403,212,Y,120500
20,NA,IR1,1113,1143,1113,Fa,504,GasA,TA,174,751,392,Y,148000
60,84,Reg,1095,1095,1939,Gd,1053,GasA,Gd,0,0,1095,Y,266000
20,73,IR1,1363,1385,1363,TA,439,GasA,TA,0,226,96,Y,241500
60,92,IR1,1164,1152,2270,Gd,671,GasA,Gd,348,524,628,Y,290000
20,80,Reg,1632,1240,1632,Gd,338,GasA,TA,183,620,0,Y,139000
20,76,Reg,816,816,816,NA,264,GasA,TA,0,546,270,Y,124500
50,55,Reg,952,952,1548,NA,672,GasW,Gd,0,0,952,N,205000
20,129,IR1,1560,1560,1560,NA,573,GasA,Gd,0,0,1560,Y,201000
20,140,Reg,864,864,864,NA,400,GasA,TA,0,120,744,Y,141000
20,107,Reg,2121,2121,2121,Ex,732,GasA,Ex,315,0,2121,Y,415298
60,83,Reg,1156,1160,2022,TA,505,GasA,TA,299,392,768,Y,192000
60,82,Reg,1175,807,1982,TA,575,GasA,Gd,340,421,386,Y,228500
20,60,Reg,1262,1262,1262,NA,572,GasA,Gd,68,905,357,Y,185000
120,34,Reg,1314,1314,1314,Gd,626,GasA,Gd,166,904,410,Y,207500
20,74,Reg,1468,1468,1468,Gd,898,GasA,Gd,72,0,1468,Y,244600
120,50,Reg,1575,1575,1575,NA,529,GasA,Gd,0,430,1145,Y,179200
160,35,IR1,625,625,1250,NA,528,GasA,Gd,0,0,625,Y,164700
50,77,IR1,1085,912,1734,Gd,440,GasA,TA,0,600,312,Y,159000
20,NA,IR1,858,858,858,NA,0,GasA,TA,0,614,244,Y,88000
20,NA,IR1,900,882,900,NA,280,GasA,TA,31,450,432,Y,122000
